SourceMissingPersonId,original_image,crop_image,status
646684,downloaded_images/646684_1.jpg,face_crops/646684_1.jpg,cropped
644960,downloaded_images/644960_1.jpg,face_crops/644960_1.jpg,cropped
645591,downloaded_images/645591_2.jpg,face_crops/645591_2.jpg,cropped
645166,downloaded_images/645166_1.jpg,face_crops/645166_1.jpg,cropped
648428,downloaded_images/648428_1.jpg,face_crops/648428_1.jpg,cropped
645960,downloaded_images/645960_1.jpg,face_crops/645960_1.jpg,cropped
645123,downloaded_images/645123_1.jpg,face_crops/645123_1.jpg,cropped
644903,downloaded_images/644903_2.jpg,face_crops/644903_2.jpg,cropped
646420,downloaded_images/646420_1.jpg,face_crops/646420_1.jpg,cropped
646894,downloaded_images/646894_2.jpg,face_crops/646894_2.jpg,cropped
647465,downloaded_images/647465_1.jpg,face_crops/647465_1.jpg,cropped
645387,downloaded_images/645387_1.jpg,face_crops/645387_1.jpg,cropped
648218,downloaded_images/648218_1.jpg,face_crops/648218_1.jpg,cropped
648947,downloaded_images/648947_4.jpg,face_crops/648947_4.jpg,cropped
648535,downloaded_images/648535_1.jpg,face_crops/648535_1.jpg,cropped
646138,downloaded_images/646138_11.jpg,face_crops/646138_11.jpg,cropped
644412,downloaded_images/644412_1.jpg,face_crops/644412_1.jpg,cropped
646721,downloaded_images/646721_1.jpg,face_crops/646721_1.jpg,cropped
649119,downloaded_images/649119_1.jpg,face_crops/649119_1.jpg,cropped
648119,downloaded_images/648119_1.jpg,face_crops/648119_1.jpg,cropped
647721,downloaded_images/647721_1.jpg,face_crops/647721_1.jpg,cropped
647498,downloaded_images/647498_1.jpg,face_crops/647498_1.jpg,cropped
644757,downloaded_images/644757_23.jpg,face_crops/644757_23.jpg,cropped
645927,downloaded_images/645927_3.jpg,face_crops/645927_3.jpg,cropped
649124,downloaded_images/649124_1.jpg,face_crops/649124_1.jpg,cropped
648967,downloaded_images/648967_1.jpg,face_crops/648967_1.jpg,cropped
647759,downloaded_images/647759_1.jpg,face_crops/647759_1.jpg,cropped
648701,downloaded_images/648701_13.jpg,face_crops/648701_13.jpg,cropped
646837,downloaded_images/646837_1.jpg,face_crops/646837_1.jpg,cropped
646115,downloaded_images/646115_5.jpg,face_crops/646115_5.jpg,cropped
644796,downloaded_images/644796_1.jpg,face_crops/644796_1.jpg,cropped
649260,downloaded_images/649260_1.jpg,face_crops/649260_1.jpg,cropped
647089,downloaded_images/647089_1.jpg,face_crops/647089_1.jpg,cropped
648260,downloaded_images/648260_1.jpg,face_crops/648260_1.jpg,cropped
647458,downloaded_images/647458_1.jpg,face_crops/647458_1.jpg,cropped
645046,downloaded_images/645046_1.jpg,face_crops/645046_1.jpg,cropped
646251,downloaded_images/646251_5.jpg,face_crops/646251_5.jpg,cropped
646375,downloaded_images/646375_1.jpg,face_crops/646375_1.jpg,cropped
645676,downloaded_images/645676_1.jpg,face_crops/645676_1.jpg,cropped
647500,downloaded_images/647500_1.jpg,face_crops/647500_1.jpg,cropped
648338,downloaded_images/648338_1.jpg,face_crops/648338_1.jpg,cropped
647992,downloaded_images/647992_1.jpg,face_crops/647992_1.jpg,cropped
645633,downloaded_images/645633_1.jpg,face_crops/645633_1.jpg,cropped
647545,downloaded_images/647545_1.jpg,face_crops/647545_1.jpg,cropped
645615,downloaded_images/645615_2.jpg,face_crops/645615_2.jpg,cropped
649338,downloaded_images/649338_1.jpg,face_crops/649338_1.jpg,cropped
644633,downloaded_images/644633_1.jpg,face_crops/644633_1.jpg,cropped
646545,downloaded_images/646545_1.jpg,face_crops/646545_1.jpg,cropped
644968,downloaded_images/644968_8.jpg,face_crops/644968_8.jpg,cropped
646131,downloaded_images/646131_4.jpg,face_crops/646131_4.jpg,cropped
644918,downloaded_images/644918_1.jpg,face_crops/644918_1.jpg,cropped
648081,downloaded_images/648081_1.jpg,face_crops/648081_1.jpg,cropped
645918,downloaded_images/645918_1.jpg,face_crops/645918_1.jpg,cropped
648887,downloaded_images/648887_1.jpg,face_crops/648887_1.jpg,cropped
646397,downloaded_images/646397_6.jpg,face_crops/646397_6.jpg,cropped
647601,downloaded_images/647601_1.jpg,face_crops/647601_1.jpg,cropped
646601,downloaded_images/646601_1.jpg,face_crops/646601_1.jpg,cropped
644532,downloaded_images/644532_1.jpg,face_crops/644532_1.jpg,cropped
645551,downloaded_images/645551_2.jpg,face_crops/645551_2.jpg,cropped
